Classifier,Approach,Accuracy,Noise_Level
KNN,hst,0.6333333333,Heavy
KNN,pxl,0.7,Heavy
MLP,hst,0.8,Heavy
MLP,pxl,0.3333333333,Heavy
SVM,hst,0.7,Heavy
SVM,pxl,0.7,Heavy
ENS,hst,0.7,Heavy
ENS,pxl,0.5666666667,Heavy
ENS,all,0.8,Heavy
KNN,hst,1,Medium
KNN,pxl,0.9,Medium
MLP,hst,1,Medium
MLP,pxl,0.33,Medium
SVM,hst,1,Medium
SVM,pxl,1,Medium
ENS,hst,1,Medium
ENS,pxl,1,Medium
ENS,all,1,Medium
KNN,hst,1,Soft
KNN,pxl,0.9310344828,Soft
MLP,hst,1,Soft
MLP,pxl,0.3103448276,Soft
SVM,hst,1,Soft
SVM,pxl,0.8965517241,Soft
ENS,hst,1,Soft
ENS,pxl,0.8965517241,Soft
ENS,all,1,Soft
