class,knn_hst,knn_pxl,mlp_hst,mlp_pxl,svm_hst,svm_pxl,ensemble_hst,ensemble_pxl,ensemble_all
0,0_0.6,0_1.0,0_0.971820747655,2_1.0,0_0.771902150626,0_0.972641398767,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999531826181,2_1.0,0_0.956107037385,0_0.980067499683,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999742209574,2_1.0,0_0.972291136703,0_0.953302139625,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.997874812493,2_1.0,0_0.903201269042,0_0.973633877599,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.998187779457,2_1.0,0_0.903242094358,0_0.952166318355,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.992574682257,2_1.0,0_0.843593320183,0_0.948274670429,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999653208285,2_1.0,0_0.964467756142,0_0.974861815685,0_1.0,0_0.666666666667,0_0.833333333333
0,0_0.6,0_1.0,0_0.964637096295,2_1.0,0_0.747724421516,0_0.966831770148,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999956956696,2_1.0,0_0.996198928026,0_0.978212850974,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.99979234498,2_1.0,0_0.975693710707,0_0.958565039131,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.997306296201,2_1.0,0_0.886932283947,0_0.978212444859,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999501209659,2_1.0,0_0.952562568044,0_0.963462467732,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999232316014,2_1.0,0_0.963482257117,0_0.951860779111,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999958523533,2_1.0,0_0.996100069338,0_0.954695784112,0_1.0,0_0.666666666667,0_0.833333333333
0,1_0.8,0_1.0,1_0.854514368373,2_1.0,1_0.505091017695,0_0.867149676234,1_1.0,0_0.666666666667,1_0.5
0,1_0.8,0_1.0,1_0.815945013526,2_1.0,0_0.505187994126,0_0.931761692343,1_0.666666666667,0_0.666666666667,0_0.5
0,0_1.0,0_1.0,0_0.99959259074,2_1.0,0_0.957525434065,0_0.973720401763,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999958116809,2_1.0,0_0.995620714962,0_0.943469694808,0_1.0,0_0.666666666667,0_0.833333333333
