class,knn_hst,knn_pxl,mlp_hst,mlp_pxl,svm_hst,svm_pxl,ensemble_hst,ensemble_pxl,ensemble_all
0,0_1.0,0_1.0,0_0.999975909394,0_0.391388804623,0_0.994821243556,0_0.878234530681,0_1.0,0_1.0,0_1.0
0,0_1.0,0_1.0,0_0.999952024507,0_0.391388804623,0_0.992694528257,0_0.645991144929,0_1.0,0_1.0,0_1.0
0,0_1.0,0_1.0,0_0.999836274873,0_0.391388804623,0_0.983315313734,0_0.875608327045,0_1.0,0_1.0,0_1.0
0,0_1.0,0_1.0,0_0.999951342153,0_0.391388804623,0_0.99032552155,0_0.884002324182,0_1.0,0_1.0,0_1.0
0,0_1.0,2_0.6,0_0.999935533251,0_0.391388804623,0_0.993682724004,2_0.793775941361,0_1.0,2_0.666666666667,0_0.666666666667
0,0_1.0,0_1.0,0_0.999933959381,0_0.391388804623,0_0.989753200447,0_0.911234456861,0_1.0,0_1.0,0_1.0
0,0_1.0,0_1.0,0_0.999922341562,0_0.391388804623,0_0.988606570323,0_0.92889373253,0_1.0,0_1.0,0_1.0
0,0_1.0,0_1.0,0_0.999953532535,0_0.391388804623,0_0.994706092896,0_0.509938122074,0_1.0,0_1.0,0_1.0
0,0_1.0,0_1.0,0_0.999975750533,0_0.391388804623,0_0.994162964093,0_0.928989624803,0_1.0,0_1.0,0_1.0
1,1_1.0,1_1.0,1_0.998742704692,0_0.391388804623,1_0.948870534371,1_0.665694232146,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999803534378,0_0.391388804623,1_0.971384264587,1_0.716145663421,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_0.8,1_0.999778617374,0_0.391388804623,1_0.969012616839,1_0.708523372272,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.993769200899,0_0.391388804623,1_0.920107780554,2_0.533341027924,1_1.0,-1_0.333333333333,1_0.666666666667
1,1_1.0,2_1.0,1_0.996016285353,0_0.391388804623,1_0.946435778367,2_0.541577530512,1_1.0,2_0.666666666667,1_0.5
1,1_1.0,1_1.0,1_0.997960635594,0_0.391388804623,1_0.940151857575,1_0.649007848226,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.99898578925,0_0.391388804623,1_0.954156668152,1_0.696385449132,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_0.8,1_0.999794161969,0_0.391388804623,1_0.971522401181,1_0.709302154805,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999714744259,0_0.391388804623,1_0.960292016822,1_0.818347939695,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999740041953,0_0.391388804623,1_0.969307759937,1_0.710494447878,1_1.0,1_0.666666666667,1_0.833333333333
2,2_1.0,2_1.0,2_0.999357827292,0_0.391388804623,2_0.969193667807,2_0.978215169565,2_1.0,2_0.666666666667,2_0.833333333333
2,2_1.0,2_1.0,2_0.999052150603,0_0.391388804623,2_0.964264020036,2_0.97927939089,2_1.0,2_0.666666666667,2_0.833333333333
2,2_1.0,2_1.0,2_0.996394831118,0_0.391388804623,2_0.94827818273,2_0.989123740494,2_1.0,2_0.666666666667,2_0.833333333333
2,2_1.0,2_1.0,2_0.997255169579,0_0.391388804623,2_0.956300770138,2_0.98986534516,2_1.0,2_0.666666666667,2_0.833333333333
2,2_1.0,2_1.0,2_0.999709350928,0_0.391388804623,2_0.984773340634,2_0.988117151206,2_1.0,2_0.666666666667,2_0.833333333333
2,2_1.0,2_1.0,2_0.999657208678,0_0.391388804623,2_0.980009777819,2_0.977750806688,2_1.0,2_0.666666666667,2_0.833333333333
2,2_1.0,2_1.0,2_0.995172107218,0_0.391388804623,2_0.937850820669,2_0.977536878588,2_1.0,2_0.666666666667,2_0.833333333333
2,2_1.0,2_1.0,2_0.995029264816,0_0.391388804623,2_0.954020743072,2_0.97265292909,2_1.0,2_0.666666666667,2_0.833333333333
2,2_1.0,2_1.0,2_0.999679007297,0_0.391388804623,2_0.981867495154,2_0.979044561152,2_1.0,2_0.666666666667,2_0.833333333333
2,2_1.0,2_1.0,2_0.996759716749,0_0.391388804623,2_0.957723248079,2_0.983697394895,2_1.0,2_0.666666666667,2_0.833333333333
