class,knn_hst,knn_pxl,mlp_hst,mlp_pxl,svm_hst,svm_pxl,ensemble_hst,ensemble_pxl,ensemble_all
0,0_1.0,0_1.0,0_0.999843683366,1_0.351967286816,0_0.968440410683,0_0.970079335109,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999943445797,1_0.351967286816,0_0.987603074863,0_0.96521739902,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999984247337,1_0.351967286816,0_0.996186660493,0_0.776355124877,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999984181773,1_0.351967286816,0_0.995298064222,0_0.937045591916,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999630645379,1_0.351967286816,0_0.990493155735,0_0.915851623374,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.990894199731,1_0.351967286816,0_0.858101039211,0_0.953570431991,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999984718939,1_0.351967286816,0_0.997318893433,0_0.86336111049,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999988410441,1_0.351967286816,0_0.997583114167,0_0.750430734972,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999911074966,1_0.351967286816,0_0.97365590879,0_0.983485666786,0_1.0,0_0.666666666667,0_0.833333333333
0,0_0.6,0_1.0,0_0.999821296095,1_0.351967286816,0_0.996135411852,0_0.896164611324,0_1.0,0_0.666666666667,0_0.833333333333
1,1_0.6,1_1.0,1_0.986562859471,1_0.351967286816,1_0.859066535094,1_0.761715516835,1_1.0,1_1.0,1_1.0
1,1_1.0,1_0.8,1_0.999316952793,1_0.351967286816,1_0.943899514028,1_0.869219033462,1_1.0,1_1.0,1_1.0
1,1_1.0,1_0.8,1_0.831787850846,1_0.351967286816,1_0.538829500251,1_0.610364856898,1_1.0,1_1.0,1_1.0
1,1_1.0,0_1.0,1_0.99930071775,1_0.351967286816,1_0.960238496547,1_0.730987199355,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,2_0.6,1_0.979518641733,1_0.351967286816,1_0.896624039445,1_0.692496186728,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999315959604,1_0.351967286816,1_0.960321159101,1_0.859940071211,1_1.0,1_1.0,1_1.0
1,1_1.0,1_0.8,1_0.93972570557,1_0.351967286816,1_0.736225313643,1_0.696676193687,1_1.0,1_1.0,1_1.0
1,1_1.0,1_1.0,1_0.999512152393,1_0.351967286816,1_0.960148656645,1_0.864778958713,1_1.0,1_1.0,1_1.0
1,1_1.0,2_0.6,1_0.937579207185,1_0.351967286816,1_0.647734666333,1_0.881802665719,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_0.8,1_0.991990363466,1_0.351967286816,1_0.872401734014,1_0.775375257928,1_1.0,1_1.0,1_1.0
2,2_1.0,2_1.0,2_0.998940862473,1_0.351967286816,2_0.973595276959,2_0.978669902567,2_1.0,2_0.666666666667,2_0.833333333333
2,2_1.0,2_1.0,2_0.998927520427,1_0.351967286816,2_0.97414534642,2_0.953079604868,2_1.0,2_0.666666666667,2_0.833333333333
2,2_1.0,2_1.0,2_0.998289385298,1_0.351967286816,2_0.978076144641,2_0.978400959927,2_1.0,2_0.666666666667,2_0.833333333333
2,2_1.0,2_1.0,2_0.999350665955,1_0.351967286816,2_0.983590113116,2_0.950566985727,2_1.0,2_0.666666666667,2_0.833333333333
2,2_1.0,2_1.0,2_0.990099598871,1_0.351967286816,2_0.942570171395,2_0.967806636739,2_1.0,2_0.666666666667,2_0.833333333333
2,2_1.0,2_1.0,2_0.995209679963,1_0.351967286816,2_0.923890773589,2_0.935192463131,2_1.0,2_0.666666666667,2_0.833333333333
2,2_1.0,2_1.0,2_0.99775305568,1_0.351967286816,2_0.960249434356,2_0.965710978751,2_1.0,2_0.666666666667,2_0.833333333333
2,2_1.0,2_1.0,2_0.998780731604,1_0.351967286816,2_0.972608335925,2_0.967707037425,2_1.0,2_0.666666666667,2_0.833333333333
2,2_0.8,2_1.0,2_0.948416431159,1_0.351967286816,2_0.906987636325,2_0.985085912055,2_1.0,2_0.666666666667,2_0.833333333333
2,2_0.8,2_1.0,2_0.999018283965,1_0.351967286816,2_0.979768710843,2_0.981503006355,2_1.0,2_0.666666666667,2_0.833333333333
