Difficulty,Question,Expected Answer
1,Na palavra. PNEU. tem encontro consonantal? Sim ou não?,Sim
1,Na palavra. LIXO. tem dígrafo? Sim ou não?,Não
2,Na palavra. PASSEIO. tem dígrafo ou encontro consonantal?,Dígrafo
2,Na palavra. CARROÇA. tem dígrafo ou encontro consonantal?,Dígrafo
2,Na palavra. PEDRA. tem dígrafo ou encontro consonantal,Encontro consonantal
3,Na palavra. CACHORRO. tem quantos dígrafos?,2
3,Na palavra. GUERRA. tem quantos dígrafos?,2
3,Na palavra. PSICÓLOGO. tem quantos encontros consonantais?,Um
4,"Na palavra. QUEIXO. tem dígrafo, encontro consonantal ou ditongo?",Dígrafo
4,Na palavra. PSIQUIATRA. tem encontro consonantal ou ditongo?,Encontro consonantal
4,Na palavra. LINGUIÇA. tem dígrafo ou ditongo?,Ditongo
5,Na palavra. ELOQUÊNCIA. tem dígrafo ou hiato?,Hiato
5,Na palavra. ALTILOQUÊNCIA. tem dígrafo ou hiato?,Hiato
