Difficulty,Question,Expected Answer
1,Qual item leva mais tempo para se decompor no mar? Caixa de papelão ou vidro,
1,O material orgânico decompoe-se mais rápido que embalagens plásticas?,
2,O que podemos fazer com o lixo reciclável?,
3,Como se chama o lixo que pode virar adubo?,
3,Como se chama o lixo composto por restos de materiais utilizados na fabricação de produtos?,
4,Qual é o destino do lixo de nossas casas recolhido pelos caminhões de coleta?,
5,O que deve ser feito com o lixo hospitalar após ser coletado?,
5,Qual a diferença entre lixo orgânico e lixo e reciclável?,
4,Qual é o destino do lixo de nossas casas recolhido pelos caminhões de coleta?,Aterro Sanitário
2,Cite um exemplo de algo que podemos descartar no lixo orgânico.,Cascas de frutas e legumes
5,O que deve ser feito com o lixo hospitalar após ser coletado?,Deve ser recolhido por caminhões especiais e levado para ser incinerado.
4,"Se, em sua casa não passa o caminhão de coleta de lixo, o que é preciso fazer com o lixo produzido?","É preciso fazer um buraco longe de qualquer local onde se capta água e ir depositando o lixo, jogando terra por cima. Assim terá o seu próprio aterro sanitário."
3,Como se chama o lixo composto por restos de materiais utilizados na fabricação de produtos?,Lixo Industrial
5,Qual a diferença entre lixo orgânico e lixo e reciclável?,"Lixo orgânico pode ser colocado em uma composteira e virar adubo, lixo reciclável pode ser transformado em um material novo de novo."
5,Por que pilhas e baterias devem ser descartadas corretamente?,Para evitar contaminação
5,Qual osignificado dos 3 R's?,"Reduzir, Reutilizar, Economizar"
2,O que podemos fazer com o lixo reciclável?,Separar e enviar para a reciclagem
