Concept|Definition
Voleibol|Voleibol (chamado frequentemente no Brasil de Vôlei e em Portugal de Vólei) é um desporto praticado numa quadra dividida em duas partes por uma rede, possuindo duas equipes de seis jogadores em cada lado. O objetivo da modalidade é fazer passar a bola sobre a rede de modo a que a bola toque no chão dentro da quadra adversária, ao mesmo tempo que se evita que os adversários consigam fazer o mesmo.
Pizza|Pizza (também grafada piza em Portugal ) é uma preparação culinária que consiste em um disco de massa fermentada de farinha de trigo, coberto com molho de tomate e os ingredientes variados que normalmente incluem algum tipo de queijo, carnes preparadas ou defumadas e ervas, normalmente orégano ou manjericão, tudo assado em forno.
Bon Jovi|Bon Jovi é uma banda estadunidense de hard rock, formada em 1982 no estado de Nova Jérsei. Até hoje, já foram vendidas mais de 130 milhões de cópias de seus trabalhos.
tênis|Ténis (português europeu) ou tênis (português brasileiro) é um esporte de origem inglesa, disputado em quadras geralmente abertas e de superfícies sintéticas, cimento, saibro ou relva. Participam no jogo dois oponentes ou duas duplas de oponentes, podendo ser mistas (homens e mulheres) ou não.
lasanha|"Lasanha (lasagna em italiano) é tanto um tipo de massa em folhas (normalmente onduladas na América do Norte mas não na Itália), como também um prato, por vezes chamado lasanha ao forno, feito com camadas alternadas de massa, queijo e molho de carne. == História == A palavra lasanha provém da grega ""lasanon"" que significa pote de quatro."
voleibol|Voleibol (chamado frequentemente no Brasil de Vôlei e em Portugal de Vólei) é um desporto praticado numa quadra dividida em duas partes por uma rede, possuindo duas equipes de seis jogadores em cada lado. O objetivo da modalidade é fazer passar a bola sobre a rede de modo a que a bola toque no chão dentro da quadra adversária, ao mesmo tempo que se evita que os adversários consigam fazer o mesmo.
pizza|Pizza (também grafada piza em Portugal ) é uma preparação culinária que consiste em um disco de massa fermentada de farinha de trigo, coberto com molho de tomate e os ingredientes variados que normalmente incluem algum tipo de queijo, carnes preparadas ou defumadas e ervas, normalmente orégano ou manjericão, tudo assado em forno.
heavy metal|Heavy metal (ou simplesmente metal) é um gênero do rock que se desenvolveu no final da década de 1960 e no início da década de 1970, em grande parte no Reino Unido e nos Estados Unidos. Tendo como raízes o blues-rock e o rock psicodélico (psicadélico, em português europeu), as bandas que criaram o heavy metal desenvolveram um som massivo e encorpado, caracterizado por um timbre saturado e distorcido dos amplificadores, pelas cordas graves da guitarra para a criação de riffs e pela exploração de sonoridades em tons menores, dando um ar sombrio às composições.
strogonoff|Estrogonofe (do russo строганов, stroganov) é um prato originário da culinária russa composto de cubos de carne bovina servidos num molho de creme de leite. Desde suas origens no século XIX, o prato popularizou-se em muitos países europeus, norte-americanos e no Brasil, sempre com variações consideráveis da receita original.
frescobol|Frescobol é um esporte tipicamente praiano, criado no Rio de Janeiro no século 20. É jogado por dois jogadores ou mais.
macarrão|Macarrão é um tipo de massa alimentícia com o formato de tubos curtos, em que se incluem os penne, ravioli e os cotovelos. No entanto, existem lugares no Brasil em que se usa o termo para se referir a qualquer tipo de massa alimentícia, desde o espaguete às letras e outras formas usadas em vários cozidos e sopas.
Sepultura|Sepultura é uma banda de metal criada em 1984 pelos irmãos Max Cavalera e Igor Cavalera em Belo Horizonte, Minas Gerais, considerada uma das bandas brasileiras mais importantes do mundo. Com uma sonoridade que mistura death metal e thrash metal com elementos de música tribal indígena, africana, japonesa e outros estilos, o Sepultura ganhou respeito e fama na década de 1990 com discos como Arise e Chaos A.D., e tornou-se uma forte influência para inúmeras bandas de death metal, groove metal e nu metal.
judô|Judô (português brasileiro) ou judo (português europeu) é uma arte marcial, praticada como esporte de combate e fundada por Jigoro Kano em 1882. Os seus principais objetivos são fortalecer o físico, a mente e o espírito de forma integrada, além de desenvolver técnicas de defesa pessoal.
basquete|O basquetebol ou bola ao cesto é um jogo desportivo coletivo inventado em 1891 pelo professor de Educação Física canadense James Naismit, na Associação Cristã de Rapazes de Springfield, Massachusetts, Estados Unidos. É disputado por duas equipes de 10 jogadores (5 em campo e 5 suplentes) que têm como objetivo passar a bola por dentro de um cesto e evitar que a bola entre no seu cesto colocado nas extremidades da quadra, seja num ginásio ou ao ar livre.
pastel|Pastel é um alimento composto por uma massa à base de farinha a que se dá a forma de um envelope, se recheia e depois se frita por imersão em óleo fervente. É um dos alimentos mais frequentemente encontrados em carrinhos de rua e centros de comércio popular do Brasil, Portugal e também populares no resto do mundo.
Incubus|Incubus é uma banda norte-americana de rock alternativo formada em Calabasas, Califórnia no ano de 1991. Seus cinco membros são: Brandon Boyd (vocal e percussão), Mike Einziger (guitarra), Ben Kenney (ex-baixista oficial da Banda The Roots), Jose Pasillas (bateria) e o DJ Chris Kilmore (turntables e piano).
moqueca de camarão|A moqueca, muqueca ou poqueca (do quimbundo mu'keka: 'caldeirada de peixe' ou do tupi pokeka: 'fazer embrulho') é um cozido, geralmente de peixe, típico da culinária brasileira e da culinária angolana. No Brasil, é prato típico especialmente dos estados da Bahia, do Espírito Santo, Pará e Pernambuco, apresentando variações regionais significativas.
