Id,Date,Group,Student Name
18278,18.09.2019,grupoA-Woz,None
18280,18.09.2019,grupoA-Woz,None
18282,18.09.2019,grupoA-Woz,None
18283,18.09.2019,grupoA-Woz,None
18284,18.09.2019,grupoA-Woz,None
18285,18.09.2019,grupoA-Woz,None
18287,18.09.2019,grupoA-Woz,None
18288,18.09.2019,grupoA-Woz,None
18289,18.09.2019,grupoA-Woz,None
18290,18.09.2019,grupoA-Woz,None
18291,18.09.2019,grupoA-Woz,None
18292,18.09.2019,grupoA-Woz,None
18293,18.09.2019,grupoA-Woz,None
18294,18.09.2019,grupoA-Woz,None
18295,18.09.2019,grupoA-Woz,None
18296,18.09.2019,grupoA-Woz,None
18297,18.09.2019,grupoA-Woz,None
18298,18.09.2019,grupoA-Woz,None
18299,18.09.2019,grupoA-Woz,None
18300,18.09.2019,grupoA-Woz,None
18301,18.09.2019,grupoA-Woz,None
18302,18.09.2019,grupoA-Woz,None
18303,18.09.2019,grupoA-Woz,None
18304,18.09.2019,grupoA-Woz,None
18305,18.09.2019,grupoA-Woz,None
18306,18.09.2019,grupoA-Woz,None
18307,18.09.2019,grupoA-Woz,None
18308,18.09.2019,grupoA-Woz,None
18309,18.09.2019,grupoA-Woz,None
18334,31.10.2019,Woz-B,None
18335,31.10.2019,Woz-B,None
18336,31.10.2019,Woz-B,None
18337,31.10.2019,Woz-B,None
18338,31.10.2019,Woz-B,None
18339,31.10.2019,Woz-B,None
18340,31.10.2019,Woz-B,None
18341,31.10.2019,Woz-B,None
18342,31.10.2019,Woz-B,None
18343,31.10.2019,Woz-B,None
