Eval ID , Question # , Deviations , EmotionCount , NumberWord , SucRate , Time2ans , Alpha , Beta , Gama , Achieved Adaptation , Current profile , True Profile , True Adaptation
 18278 , 1 , 10.00 , 6.00 , 1.00 , 1.21 , 72.41 , 1.33 , 2.00 , 2.00 , 1 , 3 , 2 , -1
 18278 , 2 , 13.00 , 0.00 , 8.00 , 2.56 , 12.50 , 1.33 , 2.00 , 2.00 , 1 , 2 , 1 , -1
 18278 , 3 , 15.00 , 0.00 , 3.00 , 1.12 , 22.63 , 1.33 , 2.00 , 2.00 , 1 , 1 , 1 , 0
 18280 , 1 , 5.00 , 107.00 , 12.00 , 2.67 , 27.85 , 1.33 , 5.00 , 2.00 , 1 , 3 , 2 , -1
 18280 , 2 , 18.00 , 87.00 , 5.00 , 1.38 , 26.90 , 1.33 , 5.00 , 2.00 , 1 , 2 , 1 , -1
 18280 , 3 , 30.00 , 25.00 , 2.00 , 5.00 , 24.47 , 1.33 , 8.00 , 5.00 , 1 , 1 , 1 , 0
 18282 , 1 , 2.00 , 87.00 , 1.00 , 6.67 , 23.36 , 1.33 , 3.83 , 5.00 , 1 , 3 , 4 , 1
 18282 , 2 , 2.00 , 55.00 , 2.00 , 9.38 , 13.88 , 1.33 , 5.14 , 8.00 , 1 , 4 , 5 , 1
 18282 , 3 , 2.00 , 110.00 , 1.00 , 0.08 , 20.73 , 1.33 , 3.21 , 2.00 , 1 , 5 , 4 , -1
 18283 , 1 , 0.00 , 133.00 , 6.00 , 4.12 , 12.52 , 5.36 , 5.00 , 5.00 , 1 , 3 , 4 , 1
 18283 , 2 , 1.00 , 187.00 , 4.00 , 3.26 , 17.16 , 5.36 , 5.00 , 5.00 , 1 , 4 , 3 , -1
 18283 , 3 , 1.00 , 179.00 , 7.00 , 3.94 , 14.60 , 5.36 , 5.00 , 5.00 , 1 , 3 , 4 , 1
 18284 , 1 , 7.00 , 401.00 , 2.00 , 2.67 , 60.44 , 1.33 , 7.80 , 2.00 , 1 , 3 , 2 , -1
 18284 , 2 , 10.00 , 81.00 , 1.00 , 2.31 , 20.83 , 1.33 , 3.86 , 2.00 , 1 , 2 , 3 , 1
 18284 , 3 , 13.00 , 272.00 , 4.00 , 4.29 , 63.79 , 1.33 , 5.00 , 5.00 , 1 , 3 , 4 , 1
 18285 , 1 , 3.00 , 27.00 , 6.00 , 5.14 , 16.23 , 1.33 , 8.00 , 5.00 , 1 , 3 , 4 , 1
 18285 , 2 , 9.00 , 2.00 , 3.00 , 0.86 , 27.87 , 1.33 , 8.00 , 5.00 , 1 , 4 , 4 , 0
 18285 , 3 , 10.00 , 2.00 , 3.00 , 6.52 , 17.18 , 1.33 , 8.00 , 5.00 , 1 , 4 , 5 , 1
 18287 , 1 , 0.00 , 0.00 , 5.00 , 4.24 , 24.32 , 1.33 , 8.00 , 5.00 , 1 , 3 , 4 , 1
 18287 , 2 , 0.00 , 0.00 , 1.00 , 1.33 , 20.09 , 5.36 , 2.00 , 2.00 , 1 , 4 , 3 , -1
 18287 , 3 , 0.00 , 4.00 , 11.00 , 3.77 , 32.76 , 5.36 , 2.00 , 2.00 , 1 , 3 , 2 , -1
 18288 , 1 , 0.00 , 0.00 , 1.00 , 5.38 , 9.16 , 5.36 , 2.00 , 5.00 , 1 , 3 , 3 , 0
 18288 , 2 , 0.00 , 0.00 , 3.00 , 3.49 , 18.13 , 5.36 , 2.00 , 5.00 , 1 , 3 , 3 , 0
 18288 , 3 , 2.00 , 0.00 , 8.00 , 2.17 , 30.96 , 5.36 , 2.00 , 5.00 , 1 , 3 , 2 , -1
 18289 , 1 , 3.00 , 2.00 , 3.00 , 5.00 , 59.46 , 5.36 , 2.00 , 5.00 , 1 , 3 , 3 , 0
 18289 , 2 , 7.00 , 1.00 , 5.00 , 1.51 , 29.99 , 5.36 , 2.00 , 5.00 , 1 , 3 , 2 , -1
 18289 , 3 , 9.00 , 2.00 , 4.00 , 2.65 , 21.35 , 5.36 , 2.00 , 5.00 , 1 , 2 , 2 , 0
 18290 , 1 , 10.00 , 163.00 , 13.00 , 2.84 , 55.38 , 1.33 , 5.00 , 2.00 , 1 , 3 , 2 , -1
 18290 , 2 , 12.00 , 91.00 , 1.00 , 2.00 , 18.04 , 1.33 , 3.80 , 2.00 , 1 , 2 , 1 , -1
 18290 , 3 , 13.00 , 102.00 , 1.00 , 10.00 , 17.99 , 1.33 , 3.58 , 8.00 , 1 , 1 , 2 , 1
 18291 , 1 , 4.00 , 61.00 , 8.00 , 4.86 , 22.37 , 1.33 , 4.11 , 5.00 , 1 , 3 , 4 , 1
 18291 , 2 , 5.00 , 116.00 , 5.00 , 2.27 , 14.82 , 1.33 , 5.00 , 2.00 , 1 , 4 , 4 , 0
 18291 , 3 , 6.00 , 247.00 , 2.00 , 1.48 , 16.80 , 1.33 , 7.80 , 2.00 , 1 , 4 , 3 , -1
 18292 , 1 , 8.00 , 407.00 , 3.00 , 1.82 , 69.53 , 1.33 , 5.00 , 2.00 , 1 , 3 , 2 , -1
