 Deviations , EmotionCount , NumberWord , SucRate , Time2ans , True Adaptation
 10.00 , 6.00 , 1.00 , 1.21 , 72.41 ,-1
 13.00 , 0.00 , 8.00 , 2.56 , 12.50 ,-1
 15.00 , 0.00 , 3.00 , 1.12 , 22.63 ,0
 5.00 , 107.00 , 12.00 , 2.67 , 27.85 ,-1
 18.00 , 87.00 , 5.00 , 1.38 , 26.90 ,-1
 30.00 , 25.00 , 2.00 , 5.00 , 24.47 ,0
 2.00 , 87.00 , 1.00 , 6.67 , 23.36 ,1
 2.00 , 55.00 , 2.00 , 9.38 , 13.88 ,1
 2.00 , 110.00 , 1.00 , 0.08 , 20.73 ,-1
 0.00 , 133.00 , 6.00 , 4.12 , 12.52 ,1
 1.00 , 187.00 , 4.00 , 3.26 , 17.16 ,-1
 1.00 , 179.00 , 7.00 , 3.94 , 14.60 ,1
 7.00 , 401.00 , 2.00 , 2.67 , 60.44 ,-1
 10.00 , 81.00 , 1.00 , 2.31 , 20.83 ,1
 13.00 , 272.00 , 4.00 , 4.29 , 63.79 ,1
 3.00 , 27.00 , 6.00 , 5.14 , 16.23 ,1
 9.00 , 2.00 , 3.00 , 0.86 , 27.87 ,0
 10.00 , 2.00 , 3.00 , 6.52 , 17.18 ,1
 0.00 , 0.00 , 5.00 , 4.24 , 24.32 ,1
 0.00 , 0.00 , 1.00 , 1.33 , 20.09 ,-1
 0.00 , 4.00 , 11.00 , 3.77 , 32.76 ,-1
 0.00 , 0.00 , 1.00 , 5.38 , 9.16 ,0
 0.00 , 0.00 , 3.00 , 3.49 , 18.13 ,0
 2.00 , 0.00 , 8.00 , 2.17 , 30.96 ,-1
 3.00 , 2.00 , 3.00 , 5.00 , 59.46 ,0
 7.00 , 1.00 , 5.00 , 1.51 , 29.99 ,-1
 9.00 , 2.00 , 4.00 , 2.65 , 21.35 ,0
 10.00 , 163.00 , 13.00 , 2.84 , 55.38 ,-1
 12.00 , 91.00 , 1.00 , 2.00 , 18.04 ,-1
 13.00 , 102.00 , 1.00 , 10.00 , 17.99 ,1
 4.00 , 61.00 , 8.00 , 4.86 , 22.37 ,1
 5.00 , 116.00 , 5.00 , 2.27 , 14.82 ,0
 6.00 , 247.00 , 2.00 , 1.48 , 16.80 ,-1
 8.00 , 407.00 , 3.00 , 1.82 , 69.53 ,-1
 10.00 , 263.00 , 1.00 , 0.67 , 30.14 ,-1
 13.00 , 178.00 , 1.00 , 10.00 , 18.66 ,1
 0.00 , 0.00 , 2.00 , 1.21 , 10.99 ,-1
 2.00 , 55.00 , 4.00 , 3.43 , 17.65 ,-1
 2.00 , 42.00 , 1.00 , 0.00 , 12.16 ,0
 4.00 , 20.00 , 2.00 , 4.00 , 31.78 ,-1
 6.00 , 0.00 , 3.00 , 6.15 , 14.37 ,1
 8.00 , 1.00 , 2.00 , 2.50 , 10.41 ,-1
 0.00 , 31.00 , 5.00 , 3.71 , 19.01 ,-1
 1.00 , 41.00 , 3.00 , 3.33 , 19.57 ,-1
